tag,ordering,alg,B,seed,Nlike_used,wall_time_s,N,neff,eta,stop,logZ,logZ_se,P_upper_octant,kamland_energy_scale_mean,kamland_energy_scale_sd,kamland_flux_scale_mean,kamland_flux_scale_sd,kamland_geonu_scale_mean,kamland_geonu_scale_sd,nc_norm_mean,nc_norm_sd,nutau_cc_norm_mean,nutau_cc_norm_sd,dm21_mean,dm21_sd,dm31_mean,dm31_sd,dcp_mean,dcp_sd,th12_mean,th12_sd,th13_mean,th13_sd,th23_mean,th23_sd
nu_dakami_IO,IO,ns,50000.0,23,43541.0,851.1220336,10209,10.492625700941433,0.00024098265315315297,budget,-512.2505286769025,0.050118236796920186,0.9079827929869958,0.4906501719241685,1.1145787059001193,0.22104207447161262,0.7577675838605032,0.049670704253566164,0.26631452098049413,0.864379292568694,0.13879579030577383,1.031790983818221,0.27129666079452747,7.956094063276457e-5,2.5788961427671325e-6,-0.002487276138396177,6.799807774447517e-5,2.9516683863699833,1.6382376214126904,0.60051836889668,0.042480220274181184,0.147906330598424,0.0036176022642585956,0.9022406175720887,0.08816207755167571
nu_dakami_IO,IO,ns,50000.0,41,43527.0,471.2687036,10192,5.603830733788211,0.00012874378509403843,budget,-512.6609364945006,0.0509855801277603,0.638668479406465,-0.27558393336134984,0.9431140438146303,1.231348294389931,0.9133897420700198,-0.0335802575565171,0.2589221417823915,0.8080456576559676,0.12708033757859263,0.819307539814448,0.27273454575889444,7.642989686959034e-5,2.1430125616747733e-6,-0.002425260714413221,7.272897384640663e-5,2.6622299560360547,1.5598003698153167,0.6350513191832595,0.060820195767349386,0.1486453180868152,0.003564082575347086,0.7949068516958366,0.1252960293982256
nu_dakami_IO,IO,is,500000.0,11,500000.0,10219.3924949,500000,25.925713940660728,5.1851427881321454e-5,budget,-511.39527299691014,NaN,0.5966706499883454,-0.039499218970068556,0.9406660061386308,0.46498297015516254,0.9565396180907335,0.03322719527462707,0.24288784807582048,0.8345166720207478,0.14499745794442156,1.0126686307635533,0.17588148675198192,7.733805604836145e-5,2.1701107801395977e-6,-0.0024714091165041353,6.32840596550633e-5,2.7030992530206905,1.8665525318183642,0.6007041272493772,0.042376984275874705,0.14861882020908418,0.0028064186783105342,0.8285964243998911,0.13066973714764255
nu_dakami_IO,IO,mh,500000.0,11,500000.0,6713.6077084,484992,330.97515864984365,0.0006619503172996873,budget,NaN,NaN,0.619006086698337,0.010409014037973613,0.9957132367362521,0.6183827088663617,0.924272045014146,0.03847275491420295,0.2232151678884849,0.8645095524884256,0.13249630519224295,1.0019682869195232,0.19824867629719803,7.736932542148194e-5,2.284185284005792e-6,-0.002458598378248301,5.759125848529552e-5,3.0293694921000274,1.8230106021120924,0.6037418936205599,0.04163807701085039,0.14853706937300437,0.0028552310715375547,0.8291918071063409,0.13261015190455028
nu_dakami_IO,IO,mh,500000.0,23,500000.0,9773.9550257,484992,402.59635239639806,0.0008051927047927961,budget,NaN,NaN,0.6071605304829766,0.010334816052536715,0.9886412098607826,0.600737649839945,0.906441024220874,0.03536225176174483,0.22320551890305396,0.8611350366904009,0.13185697888462694,0.9972185664249449,0.19426790658276089,7.74028540179418e-5,2.2618442978531898e-6,-0.0024572415542217342,5.737556982310731e-5,3.0084628523701995,1.8045265037226808,0.6025402748410487,0.040486567708979876,0.1485935284912825,0.0028277078666059242,0.8262901593058086,0.1329178913618839
nu_dakami_IO,IO,mh,500000.0,41,500000.0,5317.8795737,484992,404.19013603093083,0.0008083802720618617,budget,NaN,NaN,0.5888262074425967,-0.005687990513275627,0.9892719336339134,0.6029570089544705,0.9318145958432328,0.04031857064282965,0.22311108829643436,0.8655252763586934,0.1327382670415707,1.0001743441117354,0.1957349182758268,7.737605825900576e-5,2.274554014419091e-6,-0.0024573916004702553,5.709228960885105e-5,2.955628905354475,1.794609676864242,0.6027507576666402,0.042087292633694214,0.14857635410791598,0.0028373383980093473,0.8202677515004962,0.133770340735441
nu_dakami_IO,IO,mw,500000.0,11,115391.0,984.1533729,3297,2018.0695478172745,0.017488968358167226,T_max,-511.5028521329335,NaN,0.6278391644973323,-0.058251337592308244,0.93939529044062,0.5875441649920028,0.8759507869751081,0.021207278016090653,0.21747889425993092,0.8583208358351826,0.13205433688736645,0.9986795752040605,0.18829771551962018,7.725499901758624e-5,2.2640510831436587e-6,-0.00246321255615035,5.555811509541315e-5,2.8807255365103597,1.7574119377707638,0.6014956226073727,0.03833798963805361,0.14849487300862851,0.0027958697213724603,0.8323618609499596,0.1352879233193604
nu_dakami_IO,IO,mw,500000.0,23,115086.0,884.3227351,2992,1957.6505328415358,0.01701032734512917,T_max,-511.5544434321749,NaN,0.6019353584275995,-0.038998634370135066,0.874060376991028,0.5982155824059712,0.8748300670434335,0.02952767573831007,0.2125040116424997,0.8551149223839035,0.1282484549643367,0.998374143589069,0.18421329108503817,7.730905247373718e-5,2.1856350744919117e-6,-0.0024611433635853075,5.41169094188673e-5,2.9212456860759914,1.7279888086241677,0.6018220424471068,0.0376003175688609,0.14849867262472496,0.002911954818836954,0.8263393453816097,0.13613828319640983
nu_dakami_IO,IO,mw,500000.0,41,114864.0,782.2300521,2770,1248.9451998714646,0.010873251844541933,T_max,-511.5499085868003,NaN,0.6402508157218575,-0.02726171673530596,0.9453534384777598,0.5688115935235067,0.8470122162111143,0.02451970644975822,0.21074890405208463,0.8567969969268305,0.1284506022791495,0.9939966224555152,0.18331940619811626,7.725032243410457e-5,2.2466534547968826e-6,-0.0024638484069631804,5.378519735434388e-5,2.846120586408593,1.6935000380727712,0.6003094668246043,0.03716720908742735,0.14860437345057037,0.0028015808562418493,0.8356369707098579,0.13559934049410785
nu_dakami_IO,IO,ns,500000.0,11,342993.0,4743.2173321,19325,76.56788827444232,0.0002232345507763783,maxcall,-509.8299600173902,0.05090169712394352,0.4277874838785611,0.1417481961097362,0.8621264923311558,0.5876225864958965,0.8282133708210884,-0.00975370083732726,0.22764671876298245,0.8559704570664559,0.13714029792668453,0.9939870021350062,0.19076871866363665,7.768794220343543e-5,2.22973837455729e-6,-0.0024517295060973573,5.655285528008586e-5,3.184350698461039,1.7592631707864068,0.600008853102796,0.037677935734928454,0.1487180483902081,0.0025952550137333334,0.7694636263001241,0.13102286925385676
